date_d,date_depart,ship,port,country,produit,volume
1958-07-16,1958-06-16,3,marseille,FRANCE,3675,8
1958-07-16,1958-06-16,3,marseille,FRANCE,1340,11
1958-07-16,1958-06-16,3,marseille,FRANCE,911,1
1958-07-16,1958-06-16,3,marseille,FRANCE,2151,1
1958-07-16,1958-06-16,3,marseille,FRANCE,3352,1
1958-08-16,1958-06-16,3,London,ENGLAND,2720,
1958-08-16,1958-06-16,3,London,ENGLAND,1533,2016
1958-08-16,1958-06-16,3,London,ENGLAND,3964,485
1958-08-16,1958-06-16,3,London,ENGLAND,970,
1958-08-16,1958-06-16,3,London,ENGLAND,3036,1110
1958-08-16,1958-06-16,3,London,ENGLAND,307,
1958-08-16,1958-06-16,3,London,ENGLAND,3991,339
1958-08-16,1958-06-16,3,London,ENGLAND,3996,591
1958-08-16,1958-06-16,3,London,ENGLAND,2237,331
1958-08-16,1958-06-16,3,London,ENGLAND,1929,59
1958-08-16,1958-06-16,3,London,ENGLAND,4025,7
1958-08-16,1958-06-16,3,London,ENGLAND,3928,19
1958-08-16,1958-06-16,3,London,ENGLAND,352,10
1958-08-16,1958-06-16,3,London,ENGLAND,4045,1
1991-05-23,1991-04-23,3,Oran,ALGERIA,1216,1829
1991-05-23,1991-04-23,3,Oran,ALGERIA,3396,486
1991-05-23,1991-04-23,3,Oran,ALGERIA,1062,10
1991-05-23,1991-04-23,3,Oran,ALGERIA,1640,23
1991-05-23,1991-04-23,3,Oran,ALGERIA,1992,1
1991-05-23,1991-04-23,3,Oran,ALGERIA,2232,45
1991-05-23,1991-04-23,3,Oran,ALGERIA,2621,
1991-05-23,1991-04-23,3,Oran,ALGERIA,2879,17
1991-05-23,1991-04-23,3,Oran,ALGERIA,4072,1
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1573,
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1514,8
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,748,45
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1036,69
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1234,2
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,3667,23
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,41,5
1940-04-05,1940-03-05,4,marseille,FRANCE,352,10090
1940-04-05,1940-03-05,4,marseille,FRANCE,4032,438
1940-04-05,1940-03-05,4,marseille,FRANCE,3142,2270
1940-04-05,1940-03-05,4,marseille,FRANCE,2702,147
1940-04-05,1940-03-05,4,marseille,FRANCE,1615,17
1940-04-05,1940-03-05,4,marseille,FRANCE,303,1
1983-03-24,1983-02-24,8,Oran,ALGERIA,134,9
1983-03-24,1983-02-24,8,Oran,ALGERIA,3014,36
1983-03-24,1983-02-24,8,Oran,ALGERIA,2803,12
1983-03-24,1983-02-24,8,Oran,ALGERIA,3125,5
1983-04-24,1983-02-24,8,Liverpool,ENGLAND,1603,1
1983-05-24,1983-02-24,8,marseille,FRANCE,4044,2
1992-05-25,1992-04-25,9,Oran,ALGERIA,3317,3
1992-05-25,1992-04-25,9,Oran,ALGERIA,1336,3
1992-06-25,1992-04-25,9,Los Angeles,UNITED STATE OF AMERICA,3423,2021
1992-06-25,1992-04-25,9,Los Angeles,UNITED STATE OF AMERICA,962,1
1992-06-25,1992-04-25,9,Los Angeles,UNITED STATE OF AMERICA,1204,19
1992-06-25,1992-04-25,9,Los Angeles,UNITED STATE OF AMERICA,126,3
1992-06-25,1992-04-25,9,Los Angeles,UNITED STATE OF AMERICA,1818,2
1992-07-25,1992-04-25,9,Alger,ALGERIA,1514,
1992-07-25,1992-04-25,9,Alger,ALGERIA,4007,2241
1992-07-25,1992-04-25,9,Alger,ALGERIA,1203,197
1925-01-14,1924-12-14,9,Annaba,ALGERIA,1920,2075
1925-01-14,1924-12-14,9,Annaba,ALGERIA,2438,1497
1925-01-14,1924-12-14,9,Annaba,ALGERIA,305,86
1925-01-14,1924-12-14,9,Annaba,ALGERIA,3058,73
1925-01-14,1924-12-14,9,Annaba,ALGERIA,1010,
1925-01-14,1924-12-14,9,Annaba,ALGERIA,1241,79
1925-01-14,1924-12-14,9,Annaba,ALGERIA,3070,
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,742,
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,134,684
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,139,
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,110,330
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,1302,69
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,312,
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,700,5
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,4028,5
1942-08-18,1942-06-18,9,Oran,ALGERIA,3429,2596
1942-08-18,1942-06-18,9,Oran,ALGERIA,1546,219
1942-08-18,1942-06-18,9,Oran,ALGERIA,331,6
1942-10-18,1942-06-18,9,Oran,ALGERIA,3712,3
