num,name,type_p,categorie,unite
0,Saint Albray (34% MG),sec,0,kg
1,Saint Albray (34% MG),sec,1,kg
2,Saint Albray (34% MG),sec,2,kg
3,Saint Albray (34% MG),sec,3,kg
4,Saint Albray (34% MG),sec,4,kg
5,Saint Albray (34% MG),sec,5,kg
6,Saint Albray (34% MG),sec,6,kg
7,Saint Albray (34% MG),sec,7,kg
8,Saint Albray (34% MG),sec,8,kg
9,Saint Albray (34% MG),sec,9,kg
10,Saint Albray (34% MG),sec,10,kg
11,Saint Albray (34% MG),sec,11,kg
12,Saint Albray (34% MG),sec,12,kg
13,Saint Albray (34% MG),sec,13,kg
14,Saint Albray (34% MG),sec,14,kg
15,Saint Albray (34% MG),sec,15,kg
16,Saint Albray (34% MG),sec,16,kg
17,Saint Albray (34% MG),sec,17,kg
18,Saint Albray (34% MG),sec,18,kg
19,Saint Albray (34% MG),sec,19,kg
20,Saint Albray (34% MG),sec,20,kg
21,Saint Albray (34% MG),sec,21,kg
22,Saint Albray (34% MG),sec,22,kg
23,Saint Albray (34% MG),sec,23,kg
24,Saint Albray (34% MG),sec,24,kg
25,Saint Albray (34% MG),sec,25,kg
26,Saint Albray (34% MG),sec,26,kg
27,Saint Albray (34% MG),sec,27,kg
28,Saint Albray (34% MG),sec,28,kg
29,Saint Albray (34% MG),sec,29,kg
30,Saint Albray (34% MG),sec,0,m3
31,Saint Albray (34% MG),sec,1,m3
32,Saint Albray (34% MG),sec,2,m3
33,Saint Albray (34% MG),sec,3,m3
34,Saint Albray (34% MG),sec,4,m3
35,Saint Albray (34% MG),sec,5,m3
36,Saint Albray (34% MG),sec,6,m3
37,Saint Albray (34% MG),sec,7,m3
38,Saint Albray (34% MG),sec,8,m3
39,Saint Albray (34% MG),sec,9,m3
40,Saint Albray (34% MG),sec,10,m3
41,Saint Albray (34% MG),sec,11,m3
42,Saint Albray (34% MG),sec,12,m3
43,Saint Albray (34% MG),sec,13,m3
44,Saint Albray (34% MG),sec,14,m3
45,Saint Albray (34% MG),sec,15,m3
46,Saint Albray (34% MG),sec,16,m3
47,Saint Albray (34% MG),sec,17,m3
48,Saint Albray (34% MG),sec,18,m3
49,Saint Albray (34% MG),sec,19,m3
50,Saint Albray (34% MG),sec,20,m3
51,Saint Albray (34% MG),sec,21,m3
52,Saint Albray (34% MG),sec,22,m3
53,Saint Albray (34% MG),sec,23,m3
54,Saint Albray (34% MG),sec,24,m3
55,Saint Albray (34% MG),sec,25,m3
56,Saint Albray (34% MG),sec,26,m3
57,Saint Albray (34% MG),sec,27,m3
58,Saint Albray (34% MG),sec,28,m3
59,Saint Albray (34% MG),sec,29,m3
60,Saint Albray (34% MG),sec,0,l
61,Saint Albray (34% MG),sec,1,l
62,Saint Albray (34% MG),sec,2,l
63,Saint Albray (34% MG),sec,3,l
64,Saint Albray (34% MG),sec,4,l
65,Saint Albray (34% MG),sec,5,l
66,Saint Albray (34% MG),sec,6,l
67,Saint Albray (34% MG),sec,7,l
68,Saint Albray (34% MG),sec,8,l
69,Saint Albray (34% MG),sec,9,l
70,Saint Albray (34% MG),sec,10,l
71,Saint Albray (34% MG),sec,11,l
72,Saint Albray (34% MG),sec,12,l
73,Saint Albray (34% MG),sec,13,l
74,Saint Albray (34% MG),sec,14,l
75,Saint Albray (34% MG),sec,15,l
76,Saint Albray (34% MG),sec,16,l
77,Saint Albray (34% MG),sec,17,l
78,Saint Albray (34% MG),sec,18,l
79,Saint Albray (34% MG),sec,19,l
80,Saint Albray (34% MG),sec,20,l
81,Saint Albray (34% MG),sec,21,l
82,Saint Albray (34% MG),sec,22,l
83,Saint Albray (34% MG),sec,23,l
84,Saint Albray (34% MG),sec,24,l
85,Saint Albray (34% MG),sec,25,l
86,Saint Albray (34% MG),sec,26,l
87,Saint Albray (34% MG),sec,27,l
88,Saint Albray (34% MG),sec,28,l
