date_depart,ship,produit,volume
1958-06-16,3,3991,459
1958-06-16,3,2237,15457
1958-06-16,3,970,436
1958-06-16,3,1533,233
1958-06-16,3,307,2
1958-06-16,3,2720,53
1958-06-16,3,3996,23
1958-06-16,3,3675,25
1958-06-16,3,3036,32
1958-06-16,3,3964,8
1991-04-23,3,2621,9035
1991-04-23,3,1216,6418
1991-04-23,3,2232,379
1991-04-23,3,2879,800
1991-04-23,3,1640,10
1991-04-23,3,1062,36
1991-04-23,3,1992,53
1991-04-23,3,3396,1
1988-11-20,4,3092,16620
1988-11-20,4,1234,252
1988-11-20,4,697,25
1988-11-20,4,2548,5
1988-11-20,4,748,7
1988-11-20,4,3667,147
1988-11-20,4,1573,11
1988-11-20,4,1036,87
1988-11-20,4,1514,7
1988-11-20,4,982,3
1988-11-20,4,1562,5
1940-03-05,4,3142,14921
1940-03-05,4,4032,1188
1940-03-05,4,1615,648
1940-03-05,4,3379,8
1940-03-05,4,375,115
1940-03-05,4,2702,44
1940-03-05,4,3343,102
1940-03-05,4,303,29
1940-03-05,4,3057,84
1940-03-05,4,1947,11
1940-03-05,4,352,19
2020-01-24,4,2720,14138
2020-01-24,4,184,466
2020-01-24,4,3997,745
2020-01-24,4,3652,1453
2020-01-24,4,2675,217
2020-01-24,4,1401,102
2020-01-24,4,1608,17
2020-01-24,4,3002,21
2020-01-24,4,2273,2
2020-01-24,4,3290,2
2020-01-24,4,2876,4
2020-01-24,4,12,1
1983-02-24,8,3323,61
1983-02-24,8,2803,19
1983-02-24,8,3125,1
1983-02-24,8,3014,3
1983-02-24,8,1887,1
1983-02-24,8,1603,3
1983-02-24,8,134,1
1992-04-25,9,1514,2312
1992-04-25,9,4007,1523
1992-04-25,9,2502,5482
1992-04-25,9,645,3665
1992-04-25,9,3423,3533
1992-04-25,9,3047,123
1992-04-25,9,2519,666
1992-04-25,9,1860,135
1992-04-25,9,3317,8
1992-04-25,9,1033,73
1992-04-25,9,2464,165
1992-04-25,9,1280,34
1992-04-25,9,2736,1
1992-04-25,9,2508,2
1924-12-14,9,358,7662
1924-12-14,9,633,5440
1924-12-14,9,3058,246
1924-12-14,9,1920,2234
1924-12-14,9,2438,1371
1924-12-14,9,3070,609
1924-12-14,9,305,91
1924-12-14,9,1241,62
1924-12-14,9,2162,4
1924-12-14,9,1010,3
1942-06-18,9,331,14074
1942-06-18,9,1302,2846
1942-06-18,9,3429,147
1942-06-18,9,3712,44
1942-06-18,9,1210,416
1942-06-18,9,3030,25
1942-06-18,9,139,44
1942-06-18,9,1546,36
1942-06-18,9,134,29
1942-06-18,9,2129,9
1942-06-18,9,742,24
1942-06-18,9,110,12
1942-06-18,9,312,16
2017-02-16,9,1228,12536
2017-02-16,9,38,4479
2017-02-16,9,2201,491
2017-02-16,9,627,186
2017-02-16,9,3634,11
2017-02-16,9,1266,16
2017-02-16,9,3424,3
1915-08-08,11,1583,268
1915-08-08,11,1262,137
1915-08-08,11,1242,11
1915-08-08,11,3987,10
1915-08-08,11,3092,15
1915-08-08,11,3710,5
1915-08-08,11,3375,1
1915-08-08,11,2104,7
1949-10-13,17,3636,1858
1949-10-13,17,4007,4544
1949-10-13,17,1039,3988
1949-10-13,17,2819,97
1949-10-13,17,115,4
1949-10-13,17,69,1
1949-10-13,17,3025,1
1949-10-13,17,1552,13
1949-10-13,17,1596,2
1949-10-13,17,3384,1
1961-03-12,20,3190,1798
1961-03-12,20,1527,6848
1908-03-11,20,3369,11623
1908-03-11,20,3308,2512
1908-03-11,20,3442,523
1908-03-11,20,2816,378
1908-03-11,20,733,263
1908-03-11,20,1585,204
1908-03-11,20,2242,88
1908-03-11,20,1298,7
1908-03-11,20,1877,4
1968-03-17,20,818,3758
1968-03-17,20,1202,4127
1968-03-17,20,407,4229
1968-03-17,20,2168,1484
1968-03-17,20,452,329
1968-03-17,20,2753,547
1968-03-17,20,1605,710
1968-03-17,20,16,309
1968-03-17,20,1330,102
1968-03-17,20,980,2
1968-03-17,20,2916,5
1974-12-11,21,2444,7
1974-12-11,21,1835,25
1974-12-11,21,2542,21
1974-12-11,21,3036,2
1974-12-11,21,956,1
1978-01-25,22,2179,247
1978-01-25,22,670,12
1978-01-25,22,3401,7
1978-01-25,22,713,7
2014-09-08,23,679,9951
2014-09-08,23,332,2382
2014-09-08,23,377,2193
2014-09-08,23,3355,667
2014-09-08,23,3113,1445
2014-09-08,23,439,359
2014-09-08,23,3314,112
2014-09-08,23,3651,10
2014-09-08,23,403,6
2014-09-08,23,2180,2
2014-09-08,23,2470,11
1917-06-04,23,57,14930
1917-06-04,23,3183,1058
1917-06-04,23,2115,964
1917-06-04,23,799,39
1917-06-04,23,3167,82
1917-06-04,23,1597,56
1917-06-04,23,1274,9
1968-08-04,23,1566,5504
1968-08-04,23,69,3898
1968-08-04,23,1246,2844
1968-08-04,23,449,2200
1968-08-04,23,50,2159
1968-08-04,23,3110,71
1968-08-04,23,1583,454
1968-08-04,23,382,1
1968-08-04,23,3945,1
1968-08-04,23,3105,6
1970-02-20,23,1698,15306
1970-02-20,23,504,157
1908-08-28,24,2106,102
1908-08-28,24,2209,79
1908-08-28,24,1250,72
1908-08-28,24,2742,32
1908-08-28,24,3698,40
1908-08-28,24,1246,26
1908-08-28,24,618,4
1908-08-28,24,2138,2
1943-02-06,27,3088,6090
1943-02-06,27,3139,862
1943-02-06,27,1322,6773
1943-02-06,27,1276,2284
1943-02-06,27,3922,349
1943-02-06,27,3911,192
1943-02-06,27,2209,107
1943-02-06,27,1292,12
1943-02-06,27,627,1
1943-02-06,27,3601,2
1948-04-08,29,612,12988
1948-04-08,29,1928,2941
1948-04-08,29,3123,377
1948-04-08,29,955,237
1948-04-08,29,350,48
1948-04-08,29,60,1
1948-04-08,29,1876,2
1982-04-21,29,325,2230
1982-04-21,29,3307,13631
1982-04-21,29,1597,716
1982-04-21,29,3132,13
1982-04-21,29,1331,4
1973-11-11,30,3521,172
1973-11-11,30,2552,317
1973-11-11,30,502,12
1973-11-11,30,569,17
1973-11-11,30,3663,21
1973-11-11,30,1989,8
1973-11-11,30,1519,7
1973-11-11,30,676,3
1973-11-11,30,1146,1
2001-05-15,33,41,1
2001-05-15,33,910,5
2001-05-15,33,3650,14
1920-07-25,34,319,42
1920-07-25,34,96,20
1920-07-25,34,2824,9
1920-07-25,34,2478,9
1920-07-25,34,1344,2
1920-07-25,34,4004,1
1920-07-25,34,2218,1
1913-10-17,37,133,297
1913-10-17,37,104,538
1913-10-17,37,1851,81
1913-10-17,37,1007,13
1973-08-01,38,2902,594
1973-08-01,38,1996,39
1973-08-01,38,3432,32
1973-08-01,38,203,57
1973-08-01,38,2923,156
1973-08-01,38,926,12
1973-08-01,38,1945,31
1973-08-01,38,2850,7
1973-08-01,38,1579,1
1973-08-01,38,371,2
1985-08-01,39,1043,227
1985-08-01,39,963,372
1985-08-01,39,2744,219
1985-08-01,39,1643,5
1985-08-01,39,244,68
1985-08-01,39,2671,30
1985-08-01,39,3225,21
1985-08-01,39,519,1
1948-10-07,42,3991,230
1948-10-07,42,3023,2297
1948-10-07,42,406,587
1948-10-07,42,1208,655
1948-10-07,42,2781,923
1948-10-07,42,2810,796
1948-10-07,42,1911,18
1948-10-07,42,2762,135
1948-10-07,42,3624,4
1948-10-07,42,945,9
1948-10-07,42,3,2
1989-06-05,44,2134,1891
1907-01-05,44,2409,25
1907-01-05,44,2790,12584
1907-01-05,44,2719,5444
1907-01-05,44,3605,1443
1907-01-05,44,2225,297
1907-01-05,44,48,14
1907-01-05,44,1935,42
1907-01-05,44,3321,1
1995-02-07,44,649,14869
1945-07-08,44,2422,19737
1945-07-08,44,944,96
1945-07-08,44,3372,17
2012-11-07,51,324,4563
2012-11-07,51,2161,2486
2012-11-07,51,3006,817
2012-11-07,51,2715,723
2012-11-07,51,621,447
2012-11-07,51,1015,180
2012-11-07,51,3402,54
1959-12-01,53,2515,2044
1959-12-01,53,3622,3616
1959-12-01,53,3029,2127
1959-12-01,53,2187,64
1959-12-01,53,1844,6
1959-12-01,53,1585,72
1959-12-01,53,4016,276
1959-12-01,53,3699,5
1959-12-01,53,2437,15
1959-12-01,53,3635,1
1959-12-01,53,3676,1
1959-12-01,53,3395,1
1917-05-06,53,2439,4763
1917-05-06,53,137,2572
1917-05-06,53,373,154
1917-05-06,53,143,108
1917-05-06,53,2115,436
1917-05-06,53,3726,76
1917-05-06,53,1942,73
1917-05-06,53,714,22
1917-05-06,53,687,20
1917-05-06,53,3397,2
1917-05-06,53,964,1
1917-05-06,53,3738,1
1918-11-27,59,3054,2
1918-11-27,59,3714,12
1918-11-27,59,1885,15
1918-11-27,59,2193,6
1918-11-27,59,3403,10
1918-11-27,59,2222,5
1918-11-27,59,1328,3
1918-11-27,59,4033,1
1956-12-04,60,1,14154
1956-12-04,60,14,1373
1956-12-04,60,1504,4
1956-12-04,60,708,14
1956-12-04,60,1860,1
1956-12-04,60,3434,1
1956-12-04,60,128,1
1966-05-12,60,3718,219
1966-05-12,60,4025,13426
1966-05-12,60,1893,114
1966-05-12,60,2498,1455
1966-05-12,60,429,2
1966-05-12,60,2760,299
1966-05-12,60,3042,12
1966-05-12,60,1574,1
1966-05-12,60,2479,3
1948-04-15,60,1697,10734
1948-04-15,60,3803,1794
1948-04-15,60,1335,1784
1948-04-15,60,1844,579
1948-04-15,60,2815,296
1948-04-15,60,2160,335
1948-04-15,60,2386,24
1948-04-15,60,1975,2
1915-04-08,60,3366,13715
