date_d,date_depart,ship,port,country,produit,volume
1958-07-16,1958-06-16,3,marseille,FRANCE,3675,18
1958-08-16,1958-06-16,3,London,ENGLAND,3036,13
1958-08-16,1958-06-16,3,London,ENGLAND,3996,1
1958-08-16,1958-06-16,3,London,ENGLAND,2237,4188
1958-08-16,1958-06-16,3,London,ENGLAND,2720,21
1958-08-16,1958-06-16,3,London,ENGLAND,3964,7
1958-08-16,1958-06-16,3,London,ENGLAND,3991,221
1958-08-16,1958-06-16,3,London,ENGLAND,1533,115
1958-08-16,1958-06-16,3,London,ENGLAND,970,400
1958-08-16,1958-06-16,3,London,ENGLAND,307,2
1991-05-23,1991-04-23,3,Oran,ALGERIA,1216,1874
1991-05-23,1991-04-23,3,Oran,ALGERIA,2879,142
1991-05-23,1991-04-23,3,Oran,ALGERIA,3396,1
1991-05-23,1991-04-23,3,Oran,ALGERIA,1640,8
1991-05-23,1991-04-23,3,Oran,ALGERIA,2232,132
1991-05-23,1991-04-23,3,Oran,ALGERIA,1992,23
1991-05-23,1991-04-23,3,Oran,ALGERIA,2621,230
1991-05-23,1991-04-23,3,Oran,ALGERIA,1062,2
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1573,10
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1036,33
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1234,104
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,748,1
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,1514,3
1989-01-20,1988-11-20,4,New York,UNITED STATE OF AMERICA,3667,1
1940-04-05,1940-03-05,4,marseille,FRANCE,2702,6
1940-04-05,1940-03-05,4,marseille,FRANCE,3142,12252
1940-04-05,1940-03-05,4,marseille,FRANCE,1947,11
1940-04-05,1940-03-05,4,marseille,FRANCE,352,11
1940-04-05,1940-03-05,4,marseille,FRANCE,1615,76
1940-04-05,1940-03-05,4,marseille,FRANCE,4032,596
1940-04-05,1940-03-05,4,marseille,FRANCE,303,11
1983-03-24,1983-02-24,8,Oran,ALGERIA,1887,1
1983-03-24,1983-02-24,8,Oran,ALGERIA,2803,17
1983-03-24,1983-02-24,8,Oran,ALGERIA,134,1
1983-03-24,1983-02-24,8,Oran,ALGERIA,3323,41
1983-03-24,1983-02-24,8,Oran,ALGERIA,3125,1
1983-03-24,1983-02-24,8,Oran,ALGERIA,3014,1
1983-04-24,1983-02-24,8,Liverpool,ENGLAND,1603,3
1992-05-25,1992-04-25,9,Oran,ALGERIA,3317,6
1992-06-25,1992-04-25,9,Los Angeles,UNITED STATE OF AMERICA,3423,2046
1992-07-25,1992-04-25,9,Alger,ALGERIA,4007,439
1992-07-25,1992-04-25,9,Alger,ALGERIA,1514,2007
1925-01-14,1924-12-14,9,Annaba,ALGERIA,2438,1055
1925-01-14,1924-12-14,9,Annaba,ALGERIA,305,21
1925-01-14,1924-12-14,9,Annaba,ALGERIA,3058,169
1925-01-14,1924-12-14,9,Annaba,ALGERIA,1241,51
1925-01-14,1924-12-14,9,Annaba,ALGERIA,1010,2
1925-01-14,1924-12-14,9,Annaba,ALGERIA,3070,507
1925-01-14,1924-12-14,9,Annaba,ALGERIA,1920,2065
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,312,8
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,742,3
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,139,8
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,110,1
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,1302,1049
1942-07-18,1942-06-18,9,Los Angeles,UNITED STATE OF AMERICA,134,26
1942-08-18,1942-06-18,9,Oran,ALGERIA,331,2621
1942-08-18,1942-06-18,9,Oran,ALGERIA,3030,14
1942-08-18,1942-06-18,9,Oran,ALGERIA,3429,89
1942-08-18,1942-06-18,9,Oran,ALGERIA,1210,84
1942-08-18,1942-06-18,9,Oran,ALGERIA,1546,11
